metric,step,value
train/entropy_loss,129024,-0.638238787651062
train/entropy_loss,131072,-0.6277279853820801
train/entropy_loss,133120,-0.6018667817115784
train/entropy_loss,135168,-0.5306276082992554
train/entropy_loss,137216,-0.5359748005867004
train/entropy_loss,139264,-0.5259168744087219
train/entropy_loss,141312,-0.4847933053970337
train/entropy_loss,143360,-0.4191085994243622
train/entropy_loss,145408,-0.40375763177871704
train/entropy_loss,147456,-0.3922187387943268
train/entropy_loss,149504,-0.42055848240852356
train/entropy_loss,151552,-0.48576292395591736
train/entropy_loss,153600,-0.4204900860786438
train/entropy_loss,155648,-0.3399675488471985
train/entropy_loss,157696,-0.33666756749153137
train/entropy_loss,159744,-0.2729523777961731
train/entropy_loss,161792,-0.23997250199317932
train/entropy_loss,163840,-0.22390250861644745
train/entropy_loss,165888,-0.1883995085954666
train/entropy_loss,167936,-0.19424864649772644
train/entropy_loss,169984,-0.17420044541358948
train/entropy_loss,172032,-0.1737406998872757
train/entropy_loss,174080,-0.15145593881607056
train/entropy_loss,176128,-0.16059240698814392
train/entropy_loss,178176,-0.15537522733211517
train/entropy_loss,180224,-0.17053121328353882
train/entropy_loss,182272,-0.157828226685524
train/entropy_loss,184320,-0.13378366827964783
train/entropy_loss,186368,-0.14610974490642548
train/entropy_loss,188416,-0.14374636113643646
train/entropy_loss,190464,-0.13269349932670593
train/entropy_loss,192512,-0.10128697752952576
train/entropy_loss,194560,-0.0858999490737915
train/entropy_loss,196608,-0.08257896453142166
train/entropy_loss,198656,-0.0633196234703064
train/entropy_loss,200704,-0.05983605235815048
train/explained_variance,4096,0.018887817859649658
train/explained_variance,6144,0.4661014676094055
train/explained_variance,8192,0.5237690806388855
train/explained_variance,10240,0.5485836267471313
train/explained_variance,12288,0.42473018169403076
train/explained_variance,14336,0.6431474685668945
train/explained_variance,16384,0.6728180646896362
train/explained_variance,18432,0.5404121279716492
train/explained_variance,20480,0.6814420819282532
train/explained_variance,22528,0.6080538034439087
train/explained_variance,24576,0.6633296012878418
train/explained_variance,26624,0.7115078568458557
train/explained_variance,28672,0.6548190116882324
train/explained_variance,30720,0.7158669829368591
train/explained_variance,32768,0.5843842029571533
train/explained_variance,34816,0.645415186882019
train/explained_variance,36864,0.6407375335693359
train/explained_variance,38912,0.626446545124054
train/explained_variance,40960,0.619361400604248
train/explained_variance,43008,0.6555401086807251
train/explained_variance,45056,0.557177722454071
train/explained_variance,47104,0.6663467288017273
